cell,cluster,CD3D,CD3E,MS4A1,CD79A,LST1,S100A8,PECAM1,VWF
cell1,0,5.0,4.8,0.0,0.0,0.2,0.1,0.0,0.0
cell2,0,4.7,5.0,0.1,0.0,0.1,0.2,0.0,0.0
cell3,0,5.2,4.9,0.0,0.1,0.0,0.1,0.0,0.0
cell4,1,0.1,0.0,5.0,4.9,0.2,0.1,0.0,0.0
cell5,1,0.0,0.1,5.2,5.0,0.1,0.1,0.0,0.0
cell6,1,0.1,0.0,4.8,5.1,0.0,0.2,0.0,0.0
cell7,2,0.0,0.0,0.1,0.0,5.0,4.8,0.1,0.0
cell8,2,0.0,0.1,0.0,0.1,4.9,5.2,0.0,0.0
cell9,2,0.1,0.0,0.0,0.0,5.1,5.0,0.0,0.1
cell10,3,0.0,0.0,0.0,0.0,0.1,0.0,5.0,4.9
cell11,3,0.0,0.0,0.1,0.0,0.0,0.1,5.2,5.1
cell12,3,0.1,0.0,0.0,0.1,0.0,0.0,4.8,5.0
